Protein.Group	b14_02	b14_21
MH0014_GL0027038  [gene]  locus=scaffold8815_1:425:1180:- [Complete] codon-table.11	49573.3	114936
MH0016_GL0030768  [gene]  locus=scaffold720_2:630:4334:+ [Complete] codon-table.11	10194.3	4700.64
MH0016_GL0042520  [gene]  locus=scaffold264_3:1870:3150:+ [Complete] codon-table.11	NA	2668.36
MH0019_GL0005571  [gene]  locus=scaffold26662_7:2:301:+ [Lack 5'-end] codon-table.11	9805.9	NA
MH0020_GL0031208  [gene]  locus=scaffold23813_9:204:3755:- [Complete] codon-table.11	57984.5	167784
MH0021_GL0021757  [gene]  locus=scaffold57271_5:1798:2523:- [Complete] codon-table.11	40865.4	60359.5
MH0021_GL0032172  [gene]  locus=scaffold43479_2:47:796:- [Complete] codon-table.11	198669	81309.9
MH0026_GL0025473  [gene]  locus=scaffold95_9:3017:4747:+ [Complete] codon-table.11	9883.72	NA
MH0026_GL0057988  [gene]  locus=scaffold8949_2:5175:6260:+ [Complete] codon-table.11	15968.5	NA
MH0030_GL0001621  [gene]  locus=scaffold19675_1:28901:30028:+ [Complete] codon-table.11	27258.4	NA
MH0030_GL0015353  [gene]  locus=scaffold19777_1:10051:11091:+ [Complete] codon-table.11	36725.9	NA
MH0031_GL0007986  [gene]  locus=scaffold2298_1:672:1886:- [Lack 5'-end] codon-table.11	7727.73	NA
MH0031_GL0019482  [gene]  locus=scaffold12527_2:2046:2810:- [Complete] codon-table.11	19501.3	NA
MH0032_GL0020556  [gene]  locus=scaffold16595_2:2230:3441:+ [Complete] codon-table.11	20589.4	NA
MH0035_GL0038031  [gene]  locus=scaffold344_1:5173:5478:- [Complete] codon-table.11	15658	12918.6
MH0035_GL0049006  [gene]  locus=scaffold418_1:12366:13286:- [Complete] codon-table.11	38907.6	22461.5
MH0037_GL0001414  [gene]  locus=scaffold44295_2:2488:4014:+ [Complete] codon-table.11	NA	24588.5
MH0037_GL0013923  [gene]  locus=scaffold19589_2:15494:16831:+ [Complete] codon-table.11	137733	78016.6
MH0037_GL0054773  [gene]  locus=scaffold24377_5:9881:10438:+ [Complete] codon-table.11	10979.4	NA
MH0039_GL0047513  [gene]  locus=scaffold9830_1:9055:11184:- [Complete] codon-table.11	13916.7	30483
MH0041_GL0016776  [gene]  locus=scaffold17723_9:3685:4065:+ [Complete] codon-table.11	24085.7	NA
MH0043_GL0013824  [gene]  locus=scaffold49959_1:3:521:+ [Lack both ends] codon-table.11	NA	8667.31
MH0045_GL0054558  [gene]  locus=scaffold14900_1:322:732:+ [Complete] codon-table.11	6625.31	NA
MH0046_GL0038096  [gene]  locus=scaffold8379_1:11142:12416:- [Complete] codon-table.11	23215	3404.79
MH0047_GL0010726  [gene]  locus=scaffold623_5:26118:27278:- [Complete] codon-table.11	6138.75	27934.2
MH0047_GL0036394  [gene]  locus=scaffold10973_2:6796:7989:- [Complete] codon-table.11	818699	1.92241e+06
MH0047_GL0038084  [gene]  locus=scaffold32653_1:1714:2814:+ [Complete] codon-table.11	4862.67	NA
MH0047_GL0039022  [gene]  locus=scaffold22469_2:4147:5421:+ [Complete] codon-table.11	10645.2	NA
MH0050_GL0032595  [gene]  locus=scaffold6734_2:3402:4313:- [Complete] codon-table.11	26387.3	NA
MH0055_GL0012904  [gene]  locus=scaffold12748_8:44429:46396:- [Complete] codon-table.11	15007.9	NA
MH0055_GL0013021  [gene]  locus=scaffold5012_3:13560:14381:- [Complete] codon-table.11	54544.1	NA
MH0055_GL0042560  [gene]  locus=scaffold2132_24:2:421:+ [Lack 5'-end] codon-table.11	23096.9	26941
MH0055_GL0059787  [gene]  locus=scaffold14603_4:3560:3793:+ [Complete] codon-table.11	12136	43894.8
MH0057_GL0001908  [gene]  locus=scaffold4543_2:18886:21912:- [Complete] codon-table.11	25341.9	41664.1
MH0057_GL0016580  [gene]  locus=scaffold7813_2:70624:71892:- [Complete] codon-table.11	76432.1	68286.3
MH0057_GL0018775  [gene]  locus=scaffold3775_2:10396:12717:- [Complete] codon-table.11	12018.8	68368
MH0057_GL0023760  [gene]  locus=scaffold27687_1:4294:5481:- [Complete] codon-table.11	4844.08	NA
MH0057_GL0024940  [gene]  locus=scaffold2661_2:4393:5457:- [Complete] codon-table.11	41915.4	NA
MH0057_GL0035401  [gene]  locus=scaffold2274_1:25628:26671:+ [Complete] codon-table.11	80455.9	NA
MH0061_GL0042306  [gene]  locus=scaffold27479_1:8666:9847:+ [Complete] codon-table.11	78549.3	NA
MH0063_GL0005273  [gene]  locus=scaffold11292_2:2592:4385:+ [Lack 3'-end] codon-table.11	225931	NA
MH0065_GL0033031  [gene]  locus=scaffold28334_1:315:2345:+ [Complete] codon-table.11	NA	4344.96
MH0067_GL0024690  [gene]  locus=scaffold27079_1:164:550:+ [Complete] codon-table.11	12118.8	7132.5
MH0069_GL0051054  [gene]  locus=scaffold6973_1:299:856:+ [Complete] codon-table.11	5206.92	10890.9
MH0069_GL0062737  [gene]  locus=scaffold7366_1:1443:1703:+ [Lack 3'-end] codon-table.11	8923.65	NA
MH0069_GL0065137  [gene]  locus=scaffold4867_1:1:246:+ [Lack 5'-end] codon-table.11	178400	9524.74
MH0069_GL0078305  [gene]  locus=scaffold16771_2:17758:18186:- [Complete] codon-table.11	99132.5	NA
MH0070_GL0000448  [gene]  locus=scaffold10072_3:388:1275:+ [Complete] codon-table.11	NA	2930.79
MH0071_GL0042226  [gene]  locus=scaffold29869_3:1949:2392:- [Complete] codon-table.11	51073.1	57007.3
MH0074_GL0068292  [gene]  locus=scaffold41595_2:24801:26327:- [Complete] codon-table.11	4495.82	17654.7
MH0076_GL0052556  [gene]  locus=scaffold44954_1:3333:3950:+ [Complete] codon-table.11	59970.9	64727.4
MH0077_GL0035462  [gene]  locus=scaffold44732_1:3:260:+ [Lack 5'-end] codon-table.11	25346.8	13936.6
MH0077_GL0049008  [gene]  locus=scaffold23411_3:40672:43083:+ [Complete] codon-table.11	7173.02	NA
MH0083_GL0030394  [gene]  locus=scaffold41741_4:20927:22210:+ [Complete] codon-table.11	45052	NA
MH0086_GL0112737  [gene]  locus=scaffold4985_33:1261:3891:- [Complete] codon-table.11	47017.4	30722.1
MH0088_GL0029926  [gene]  locus=scaffold62925_5:13743:14837:- [Complete] codon-table.11	NA	7201.86
MH0088_GL0081920  [gene]  locus=scaffold15020_24:194:1150:+ [Complete] codon-table.11	10741.7	NA
MH0088_GL0090143  [gene]  locus=scaffold37168_13:288:1754:- [Complete] codon-table.11	8248.63	7382.93
MH0088_GL0106141  [gene]  locus=scaffold3681_37:427:921:- [Complete] codon-table.11	NA	11168.4
MH0088_GL0107046  [gene]  locus=scaffold3235_6:916:1284:+ [Complete] codon-table.11	NA	27879.8
MH0090_GL0002748  [gene]  locus=scaffold72457_1:38495:38740:+ [Complete] codon-table.11	43825.5	NA
MH0092_GL0040972  [gene]  locus=C1457098_1:146:679:+ [Complete] codon-table.11	17683.1	28445
MH0092_GL0059282  [gene]  locus=scaffold24012_6:6032:9373:+ [Complete] codon-table.11	27214.1	NA
MH0092_GL0140375  [gene]  locus=scaffold10033_22:11147:13237:- [Complete] codon-table.11	22601.9	NA
MH0093_GL0010665  [gene]  locus=scaffold696_2:7290:8045:- [Complete] codon-table.11	8926.17	19244.6
MH0094_GL0075871  [gene]  locus=scaffold33864_1:2:457:- [Lack 3'-end] codon-table.11	NA	50450.6
MH0094_GL0107622  [gene]  locus=scaffold53895_3:5934:7679:+ [Complete] codon-table.11	NA	10535.5
MH0096_GL0013876  [gene]  locus=scaffold16120_3:6442:7896:+ [Complete] codon-table.11	27761.1	48044
MH0100_GL0114735  [gene]  locus=scaffold52094_9:1210:3852:- [Complete] codon-table.11	22658.3	15840.5
MH0100_GL0127516  [gene]  locus=scaffold25263_24:212:730:+ [Complete] codon-table.11	172871	220363
MH0100_GL0129471  [gene]  locus=scaffold8032_1:959:2164:- [Complete] codon-table.11	240798	63668.9
MH0101_GL0010334  [gene]  locus=scaffold33614_4:10185:11792:- [Complete] codon-table.11	37108.2	NA
MH0102_GL0062733  [gene]  locus=scaffold51879_3:66920:69154:+ [Complete] codon-table.11	55101.8	18912.4
MH0102_GL0131793  [gene]  locus=scaffold18891_5:120:374:- [Complete] codon-table.11	51448.2	20171.2
MH0103_GL0067022  [gene]  locus=scaffold22849_3:11:1441:+ [Complete] codon-table.11	121988	87827.1
MH0107_GL0113046  [gene]  locus=scaffold98830_1:24346:25989:- [Complete] codon-table.11	8235.64	NA
MH0110_GL0025297  [gene]  locus=scaffold1370_2:7987:10617:+ [Complete] codon-table.11	132764	190938
MH0113_GL0003321  [gene]  locus=scaffold23972_30:808:2697:- [Complete] codon-table.11	78985.4	168116
MH0113_GL0037816  [gene]  locus=scaffold75803_3:2715:5969:+ [Complete] codon-table.11	333555	77565
MH0116_GL0133348  [gene]  locus=scaffold7924_1:286:852:+ [Complete] codon-table.11	7535.31	NA
MH0119_GL0114321  [gene]  locus=scaffold31851_4:323:1459:+ [Complete] codon-table.11	NA	4331.18
MH0122_GL0076036  [gene]  locus=scaffold9888_13:2:637:+ [Lack 5'-end] codon-table.11	10438.9	10602.6
MH0122_GL0076627  [gene]  locus=scaffold36241_4:686:2254:- [Complete] codon-table.11	14805.1	NA
MH0122_GL0102458  [gene]  locus=scaffold15481_4:21000:22307:- [Complete] codon-table.11	16571.3	10823.8
MH0124_GL0004871  [gene]  locus=scaffold98603_1:25539:28238:+ [Complete] codon-table.11	119061	7915.52
MH0124_GL0059575  [gene]  locus=scaffold81527_4:2642:3334:+ [Complete] codon-table.11	167092	9894.45
MH0124_GL0087622  [gene]  locus=scaffold17220_2:49710:51206:- [Complete] codon-table.11	34172.9	34980.9
MH0124_GL0143174  [gene]  locus=scaffold80274_6:11485:13302:+ [Complete] codon-table.11	12489.9	9593.34
MH0125_GL0073399  [gene]  locus=scaffold1078_1:3781:8082:+ [Complete] codon-table.11	74312.2	36255.6
MH0126_GL0001187  [gene]  locus=scaffold90753_2:45726:47108:- [Complete] codon-table.11	NA	5090.25
MH0126_GL0019349  [gene]  locus=scaffold42195_5:3099:5663:- [Complete] codon-table.11	NA	22890
MH0126_GL0122878  [gene]  locus=scaffold17457_3:635:1000:+ [Lack 3'-end] codon-table.11	4936.86	NA
MH0130_GL0013384  [gene]  locus=C920416_1:147:563:- [Complete] codon-table.11	46326.9	NA
MH0130_GL0067967  [gene]  locus=scaffold35377_1:546:2063:- [Complete] codon-table.11	83184.3	NA
MH0130_GL0077888  [gene]  locus=scaffold1658_1:6472:6837:+ [Complete] codon-table.11	NA	35185.6
MH0131_GL0041219  [gene]  locus=scaffold20378_10:1233:2561:- [Complete] codon-table.11	44520.7	NA
MH0131_GL0089619  [gene]  locus=scaffold79399_1:1:525:+ [Lack both ends] codon-table.11	113443	27856.8
MH0131_GL0110658  [gene]  locus=scaffold20572_3:429:1700:- [Complete] codon-table.11	297687	8546
MH0131_GL0135871  [gene]  locus=scaffold43_8:114:2027:+ [Complete] codon-table.11	31988.2	NA
MH0131_GL0154213  [gene]  locus=scaffold56856_2:309:1688:+ [Complete] codon-table.11	127514	104431
MH0135_GL0007871  [gene]  locus=scaffold39067_3:466:1095:+ [Complete] codon-table.11	NA	16367
MH0135_GL0082397  [gene]  locus=scaffold8650_2:28:1614:- [Complete] codon-table.11	57965.1	NA
MH0135_GL0099849  [gene]  locus=scaffold12189_21:953:2287:+ [Complete] codon-table.11	82992.4	NA
MH0136_GL0083951  [gene]  locus=scaffold4214_4:2248:3681:+ [Complete] codon-table.11	80845.3	31135.1
MH0140_GL0046792  [gene]  locus=scaffold51631_2:2:298:+ [Lack 5'-end] codon-table.11	54782.8	48648.9
MH0141_GL0094531  [gene]  locus=scaffold4355_2:2373:3755:+ [Complete] codon-table.11	103161	566641
MH0143_GL0009130  [gene]  locus=scaffold8249_1:3610:4782:+ [Complete] codon-table.11	27922.5	33886.1
MH0143_GL0027970  [gene]  locus=scaffold101975_6:2115:3569:+ [Complete] codon-table.11	NA	2674.49
MH0143_GL0064120  [gene]  locus=scaffold26663_6:746:2155:- [Complete] codon-table.11	95003.3	88129.4
MH0143_GL0076916  [gene]  locus=scaffold32491_12:881:1297:+ [Complete] codon-table.11	252838	125601
MH0143_GL0159952  [gene]  locus=scaffold4780_12:4130:4822:+ [Complete] codon-table.11	304031	19033.1
MH0144_GL0012049  [gene]  locus=scaffold86820_3:7517:10717:- [Complete] codon-table.11	22095.8	NA
MH0144_GL0085682  [gene]  locus=scaffold93115_8:2254:3084:- [Complete] codon-table.11	55721.1	36131.9
MH0145_GL0030522  [gene]  locus=scaffold121365_4:19023:20084:- [Complete] codon-table.11	35887.6	NA
MH0147_GL0020541  [gene]  locus=scaffold3895_10:193:546:- [Complete] codon-table.11	242874	120217
MH0147_GL0070598  [gene]  locus=scaffold37410_6:34:1656:- [Complete] codon-table.11	167024	41530
MH0149_GL0085441  [gene]  locus=scaffold3870_17:11427:12134:+ [Complete] codon-table.11	33102.9	67689.4
MH0151_GL0025677  [gene]  locus=scaffold12006_1:8470:9759:- [Complete] codon-table.11	228549	NA
MH0152_GL0013968  [gene]  locus=scaffold1212_12:667:1602:+ [Complete] codon-table.11	82211.7	NA
MH0152_GL0080942  [gene]  locus=scaffold33886_22:158:1711:+ [Complete] codon-table.11	44304.3	56046.6
MH0157_GL0038338  [gene]  locus=scaffold48715_12:299:898:- [Complete] codon-table.11	106797	NA
MH0157_GL0094076  [gene]  locus=scaffold20874_19:1437:2270:- [Complete] codon-table.11	4048.53	2537.6
MH0157_GL0125105  [gene]  locus=scaffold30650_18:3:548:+ [Lack both ends] codon-table.11	59651.6	75081.6
MH0163_GL0005160  [gene]  locus=scaffold68347_1:17977:18747:+ [Complete] codon-table.11	15416.9	NA
MH0164_GL0060041  [gene]  locus=scaffold9392_14:7067:7618:+ [Complete] codon-table.11	115058	86496.4
MH0172_GL0127064  [gene]  locus=scaffold15153_1:6321:7250:+ [Complete] codon-table.11	7577.67	3132.62
MH0181_GL0002451  [gene]  locus=scaffold75612_1:2529:6860:- [Complete] codon-table.11	17064.3	NA
MH0185_GL0020303  [gene]  locus=scaffold37503_7:2:961:+ [Lack 5'-end] codon-table.11	166705	NA
MH0185_GL0062621  [gene]  locus=scaffold14438_4:3:1481:+ [Lack 5'-end] codon-table.11	269258	NA
MH0187_GL0088968  [gene]  locus=C1138128_1:874:1821:+ [Complete] codon-table.11	120108	NA
MH0188_GL0027885  [gene]  locus=scaffold20912_10:1690:2409:- [Lack 5'-end] codon-table.11	6858.12	NA
MH0188_GL0088680  [gene]  locus=scaffold57666_1:1:1902:+ [Lack 5'-end] codon-table.11	41881.9	26361.3
MH0188_GL0089797  [gene]  locus=scaffold28458_1:16536:17315:+ [Complete] codon-table.11	26707.3	19137.2
MH0189_GL0011618  [gene]  locus=scaffold52067_2:2598:3989:+ [Complete] codon-table.11	NA	7445.34
MH0189_GL0016411  [gene]  locus=scaffold31315_17:2:484:+ [Lack 5'-end] codon-table.11	NA	6110.42
MH0189_GL0025386  [gene]  locus=scaffold34704_1:81688:82554:- [Complete] codon-table.11	10932.5	57268.2
MH0189_GL0044111  [gene]  locus=scaffold24883_3:79:1764:- [Complete] codon-table.11	5214.89	NA
MH0192_GL0022877  [gene]  locus=scaffold46081_5:330:962:- [Lack 5'-end] codon-table.11	79065.4	54254.5
MH0192_GL0026361  [gene]  locus=scaffold23855_5:291:803:- [Lack 5'-end] codon-table.11	42815.7	1535.56
MH0193_GL0012773  [gene]  locus=scaffold35712_4:4860:8516:+ [Complete] codon-table.11	371717	117712
MH0193_GL0057191  [gene]  locus=scaffold35935_9:890:1108:+ [Complete] codon-table.11	34098.3	NA
MH0193_GL0168892  [gene]  locus=scaffold13802_1:36752:37963:+ [Complete] codon-table.11	21539.5	18829.4
MH0193_GL0170762  [gene]  locus=scaffold100650_1:47889:49550:- [Complete] codon-table.11	NA	44077.5
MH0193_GL0185667  [gene]  locus=scaffold47270_2:28675:29685:+ [Complete] codon-table.11	14455.4	26163.4
MH0195_GL0090764  [gene]  locus=scaffold67953_1:4870:6462:- [Complete] codon-table.11	16712	NA
MH0195_GL0143964  [gene]  locus=scaffold11719_17:10101:10391:- [Complete] codon-table.11	NA	10733.8
MH0195_GL0157558  [gene]  locus=scaffold4699_5:166:651:- [Complete] codon-table.11	NA	4109.45
MH0196_GL0115268  [gene]  locus=scaffold132441_1:2140:4731:- [Complete] codon-table.11	52251.6	12993.8
MH0200_GL0110436  [gene]  locus=scaffold139_1:12326:13237:+ [Complete] codon-table.11	197075	31341
MH0203_GL0045149  [gene]  locus=scaffold151039_1:45413:46759:- [Complete] codon-table.11	836418	190461
MH0203_GL0205096  [gene]  locus=scaffold72276_2:5456:7600:- [Lack 5'-end] codon-table.11	71889.4	NA
MH0204_GL0076954  [gene]  locus=scaffold82546_1:3571:4095:+ [Lack 3'-end] codon-table.11	129596	54032.4
MH0211_GL0027677  [gene]  locus=scaffold114_4:50483:52186:+ [Complete] codon-table.11	5821	NA
MH0212_GL0006589  [gene]  locus=scaffold36994_5:3033:4376:- [Complete] codon-table.11	259078	108562
MH0212_GL0049950  [gene]  locus=scaffold37465_3:1476:2588:- [Complete] codon-table.11	94318.5	23719
MH0212_GL0084820  [gene]  locus=scaffold364_4:5504:6334:+ [Complete] codon-table.11	46602.6	NA
MH0217_GL0160322  [gene]  locus=scaffold44939_4:446:988:- [Complete] codon-table.11	27391.6	125182
MH0222_GL0071646  [gene]  locus=scaffold43141_12:2826:6095:+ [Complete] codon-table.11	114531	15751.1
MH0224_GL0070636  [gene]  locus=scaffold862_4:237:2015:+ [Complete] codon-table.11	11638.6	2825.22
MH0224_GL0112161  [gene]  locus=scaffold4914_6:3:824:+ [Lack both ends] codon-table.11	19520.8	14428.4
MH0227_GL0015156  [gene]  locus=scaffold9648_1:595:2424:- [Complete] codon-table.11	87289.2	NA
MH0229_GL0090301  [gene]  locus=scaffold25139_1:689:1183:+ [Lack 3'-end] codon-table.11	566896	533222
MH0230_GL0059391  [gene]  locus=scaffold35288_4:3573:4442:+ [Complete] codon-table.11	15614.4	NA
MH0230_GL0070365  [gene]  locus=scaffold40295_5:11148:13235:+ [Complete] codon-table.11	260520	242773
MH0233_GL0003750  [gene]  locus=scaffold69290_2:5167:6303:+ [Complete] codon-table.11	NA	30311.8
MH0233_GL0021837  [gene]  locus=scaffold35399_4:156:1172:- [Lack 5'-end] codon-table.11	12712.1	14493.8
MH0233_GL0103635  [gene]  locus=C868015_1:23358:25937:+ [Complete] codon-table.11	NA	10533.3
MH0233_GL0105808  [gene]  locus=scaffold55138_2:2:592:- [Lack both ends] codon-table.11	20926.3	18224.8
MH0238_GL0067109  [gene]  locus=scaffold100632_1:7:1101:- [Complete] codon-table.11	158086	60052.8
MH0239_GL0037300  [gene]  locus=scaffold37903_3:189:467:- [Complete] codon-table.11	164879	16928.3
MH0239_GL0065227  [gene]  locus=scaffold41431_1:24:617:+ [Complete] codon-table.11	8599.67	21996.9
MH0243_GL0005283  [gene]  locus=scaffold40367_3:1487:2929:+ [Lack 3'-end] codon-table.11	16247.2	NA
MH0244_GL0124662  [gene]  locus=scaffold4478_1:4107:6101:+ [Complete] codon-table.11	19168.7	9671.52
MH0250_GL0261474  [gene]  locus=scaffold52591_13:817:1797:- [Complete] codon-table.11	22341.7	NA
MH0250_GL0262281  [gene]  locus=scaffold149581_1:619:1602:- [Complete] codon-table.11	19689	NA
MH0251_GL0072568  [gene]  locus=scaffold29409_2:3986:5398:+ [Complete] codon-table.11	54991.4	21168.3
MH0251_GL0121713  [gene]  locus=scaffold3056_1:2562:3755:+ [Complete] codon-table.11	175695	253806
MH0251_GL0175798  [gene]  locus=scaffold28199_5:3832:4506:+ [Complete] codon-table.11	4061.57	3213.24
MH0252_GL0039289  [gene]  locus=scaffold128261_2:8627:8986:- [Complete] codon-table.11	7725.42	4534.28
MH0252_GL0125144  [gene]  locus=scaffold138210_1:15988:18630:+ [Complete] codon-table.11	21333.4	10321.6
MH0252_GL0184446  [gene]  locus=scaffold12902_28:7380:8756:+ [Complete] codon-table.11	29340.8	NA
MH0257_GL0093519  [gene]  locus=scaffold91802_1:604:1827:- [Complete] codon-table.11	6768.8	NA
MH0259_GL0120051  [gene]  locus=scaffold46595_1:729:1877:- [Complete] codon-table.11	176466	5903.12
MH0259_GL0139137  [gene]  locus=scaffold57712_10:321:1547:+ [Lack 3'-end] codon-table.11	24936.3	NA
MH0265_GL0002602  [gene]  locus=scaffold25056_2:334:4146:+ [Complete] codon-table.11	240262	9798.96
MH0265_GL0162741  [gene]  locus=scaffold70745_1:2:571:- [Lack both ends] codon-table.11	49496.6	NA
MH0267_GL0184495  [gene]  locus=scaffold85515_2:3:707:- [Lack both ends] codon-table.11	31364.9	NA
MH0268_GL0082510  [gene]  locus=scaffold15093_3:8573:10177:- [Complete] codon-table.11	883841	142527
MH0270_GL0022394  [gene]  locus=scaffold76415_3:2:1897:+ [Lack 5'-end] codon-table.11	28956.6	8760.75
MH0270_GL0058843  [gene]  locus=scaffold19022_13:1237:1929:+ [Lack 3'-end] codon-table.11	10664.1	212164
MH0271_GL0126954  [gene]  locus=scaffold65880_1:127:993:- [Complete] codon-table.11	29694.3	8649.03
MH0274_GL0006991  [gene]  locus=scaffold93964_1:9195:10727:+ [Complete] codon-table.11	113113	NA
MH0274_GL0054087  [gene]  locus=scaffold82707_1:1276:2319:- [Complete] codon-table.11	14240.5	7791.81
MH0274_GL0147438  [gene]  locus=scaffold82492_6:928:2403:- [Complete] codon-table.11	949144	374244
MH0275_GL0129479  [gene]  locus=scaffold49198_4:1155:2504:+ [Lack 3'-end] codon-table.11	NA	211854
MH0276_GL0031464  [gene]  locus=scaffold126647_2:6492:7943:+ [Complete] codon-table.11	NA	3320.84
MH0276_GL0157470  [gene]  locus=scaffold28258_4:15351:16535:- [Complete] codon-table.11	16766.1	NA
MH0276_GL0172881  [gene]  locus=scaffold71632_1:2516:3367:+ [Complete] codon-table.11	40972.4	NA
MH0276_GL0224587  [gene]  locus=scaffold86842_1:9899:10684:+ [Complete] codon-table.11	25240.9	NA
MH0281_GL0038819  [gene]  locus=scaffold19484_5:2:514:- [Lack 3'-end] codon-table.11	5168.5	NA
MH0281_GL0071487  [gene]  locus=scaffold81060_2:20049:20747:- [Complete] codon-table.11	17708.3	10489
MH0281_GL0096870  [gene]  locus=scaffold34195_2:2:616:- [Lack both ends] codon-table.11	57546.1	10118.3
MH0286_GL0042158  [gene]  locus=scaffold120567_1:13690:16206:- [Complete] codon-table.11	86116.9	NA
MH0287_GL0097163  [gene]  locus=scaffold31570_1:201:503:- [Lack 5'-end] codon-table.11	16628.9	NA
MH0288_GL0076807  [gene]  locus=scaffold40111_1:4265:4822:+ [Complete] codon-table.11	46381.6	10698.1
MH0292_GL0017180  [gene]  locus=scaffold48687_2:1418:2323:+ [Complete] codon-table.11	185676	84830.4
MH0303_GL0006468  [gene]  locus=scaffold63135_11:2980:4191:+ [Complete] codon-table.11	42708.4	17312.2
MH0303_GL0014066  [gene]  locus=scaffold113267_6:1:1041:+ [Lack 5'-end] codon-table.11	166870	NA
MH0307_GL0180694  [gene]  locus=C1420144_1:1:402:+ [Lack 5'-end] codon-table.11	13143.9	10145.2
MH0308_GL0034488  [gene]  locus=scaffold21471_2:494:1879:- [Complete] codon-table.11	2250.69	NA
MH0309_GL0017860  [gene]  locus=scaffold94780_1:443:2080:+ [Complete] codon-table.11	116702	NA
MH0309_GL0139724  [gene]  locus=scaffold31541_7:1:1560:- [Lack both ends] codon-table.11	16208.9	NA
MH0309_GL0174644  [gene]  locus=scaffold58266_1:225:653:- [Complete] codon-table.11	12295.1	NA
MH0311_GL0045966  [gene]  locus=C878096_1:1:1398:+ [Lack 5'-end] codon-table.11	81545.1	11624.8
MH0313_GL0016480  [gene]  locus=scaffold81889_2:6601:7572:- [Complete] codon-table.11	NA	16244.5
MH0313_GL0047842  [gene]  locus=scaffold96673_1:36:1130:- [Complete] codon-table.11	4278.22	NA
MH0314_GL0028678  [gene]  locus=scaffold22051_4:885:2489:+ [Complete] codon-table.11	352605	214225
MH0314_GL0111349  [gene]  locus=scaffold37748_1:6344:7348:+ [Complete] codon-table.11	15220.9	NA
MH0314_GL0154708  [gene]  locus=scaffold70347_1:26278:27630:- [Complete] codon-table.11	12829.2	139621
MH0315_GL0028193  [gene]  locus=scaffold30210_2:1027:1446:+ [Lack 3'-end] codon-table.11	11457.3	NA
MH0318_GL0009298  [gene]  locus=scaffold11941_1:105:2138:- [Complete] codon-table.11	16111.6	NA
MH0318_GL0139235  [gene]  locus=scaffold101879_5:997:1422:- [Complete] codon-table.11	10805.4	5578.43
MH0318_GL0187019  [gene]  locus=scaffold162117_1:4707:5567:+ [Complete] codon-table.11	NA	9644.47
MH0318_GL0197751  [gene]  locus=scaffold119198_2:2:1285:- [Lack 3'-end] codon-table.11	NA	4040.12
MH0323_GL0149024  [gene]  locus=scaffold40007_2:102:1568:+ [Complete] codon-table.11	17010.9	NA
MH0325_GL0024659  [gene]  locus=scaffold20098_5:1:774:+ [Lack 5'-end] codon-table.11	NA	14857.8
MH0326_GL0086705  [gene]  locus=scaffold48630_6:22:1026:- [Lack 5'-end] codon-table.11	355141	407360
MH0329_GL0210519  [gene]  locus=scaffold25336_2:1:2610:+ [Lack 5'-end] codon-table.11	NA	34372.7
MH0333_GL0067146  [gene]  locus=scaffold37662_1:3815:7636:+ [Complete] codon-table.11	12827	12022
MH0335_GL0070054  [gene]  locus=scaffold38620_20:385:1320:+ [Complete] codon-table.11	NA	7798.75
MH0335_GL0094895  [gene]  locus=scaffold38519_1:3:1196:+ [Lack 5'-end] codon-table.11	NA	16998.4
MH0336_GL0095773  [gene]  locus=scaffold16849_2:8271:9686:- [Complete] codon-table.11	250628	NA
MH0336_GL0097832  [gene]  locus=scaffold102009_3:318:581:- [Lack 5'-end] codon-table.11	280093	NA
MH0336_GL0141460  [gene]  locus=scaffold96072_1:946:1338:+ [Complete] codon-table.11	47466	NA
MH0337_GL0003002  [gene]  locus=scaffold20343_8:13:1305:- [Complete] codon-table.11	141957	65411.4
MH0337_GL0012713  [gene]  locus=scaffold68545_1:45998:47182:- [Complete] codon-table.11	123247	90933.4
MH0339_GL0201051  [gene]  locus=scaffold77245_10:275:1684:+ [Complete] codon-table.11	10920.4	NA
MH0339_GL0215019  [gene]  locus=scaffold88157_7:179:1000:- [Lack 5'-end] codon-table.11	17419.9	NA
MH0340_GL0132716  [gene]  locus=scaffold14357_1:1:765:+ [Lack 5'-end] codon-table.11	396512	NA
MH0341_GL0054772  [gene]  locus=scaffold28916_3:1:489:+ [Lack 5'-end] codon-table.11	46711.4	NA
MH0341_GL0102431  [gene]  locus=scaffold4981_11:3873:5954:- [Complete] codon-table.11	5750.43	8315.8
MH0343_GL0015628  [gene]  locus=scaffold14462_12:464:862:+ [Complete] codon-table.11	NA	7593.77
MH0343_GL0074680  [gene]  locus=scaffold72058_2:1:159:- [Lack 3'-end] codon-table.11	790520	201082
MH0345_GL0087811  [gene]  locus=scaffold81319_3:13945:16572:+ [Complete] codon-table.11	50726.2	20752.9
MH0348_GL0135260  [gene]  locus=scaffold41556_1:101:2164:- [Complete] codon-table.11	NA	1307.61
MH0351_GL0006420  [gene]  locus=scaffold11286_9:1:1077:+ [Lack 5'-end] codon-table.11	13564.2	NA
MH0351_GL0072984  [gene]  locus=scaffold45948_2:12376:14103:- [Complete] codon-table.11	NA	2369.02
MH0354_GL0078014  [gene]  locus=C1109777_1:5992:7389:+ [Complete] codon-table.11	NA	1211.29
MH0355_GL0148797  [gene]  locus=scaffold18455_64:275:976:+ [Complete] codon-table.11	171454	9538.02
