Protein.Group	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
Human_swiss_sp|P53801|PTTG_HUMAN Pituitary tumor-transforming gene 1 protein-interacting protein OS=Homo sapiens OX=9606 GN=PTTG1IP PE=1 SV=1	28513.3	7097.06	17220.4	15604.3	6198.43	39164.9	13850.6
Human_swiss_sp|P55259|GP2_HUMAN Pancreatic secretory granule membrane major glycoprotein GP2 OS=Homo sapiens OX=9606 GN=GP2 PE=1 SV=3	842327	825489	11566.5	1.26518e+06	482598	980616	990210
Human_swiss_sp|P56470|LEG4_HUMAN Galectin-4 OS=Homo sapiens OX=9606 GN=LGALS4 PE=1 SV=1	52747.5	39153.7	45573.2	51508.4	45443.8	52078.8	75548.9
Human_swiss_sp|P59665|DEF1_HUMAN Neutrophil defensin 1 OS=Homo sapiens OX=9606 GN=DEFA1 PE=1 SV=1	10996.1	14974.9	18679.1	35089.5	24245.9	66531.7	39719.4
Human_swiss_sp|P60174|TPIS_HUMAN Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=4	114260	47142.1	23599.2	44449.3	30994.1	49803.5	62008.4
Human_swiss_sp|P60709|ACTB_HUMAN Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1	10944.7	NA	6802.66	5842.5	6087.22	5622.46	5182.68
Human_swiss_sp|P61026|RAB10_HUMAN Ras-related protein Rab-10 OS=Homo sapiens OX=9606 GN=RAB10 PE=1 SV=1	NA	NA	8474.67	NA	NA	8364.63	6829.54
Human_swiss_sp|P61224|RAP1B_HUMAN Ras-related protein Rap-1b OS=Homo sapiens OX=9606 GN=RAP1B PE=1 SV=1	14874.6	NA	9704.81	NA	11042.5	6191.1	7652.86
Human_swiss_sp|P62241|RS8_HUMAN 40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2	39197.2	12526.1	13078	NA	NA	NA	27186.5
Human_swiss_sp|P62263|RS14_HUMAN 40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=3	NA	12621	NA	6247.86	NA	4487.97	8130.46
Human_swiss_sp|P62491|RB11A_HUMAN Ras-related protein Rab-11A OS=Homo sapiens OX=9606 GN=RAB11A PE=1 SV=3	NA	7760.21	14303.2	7880.89	8883.74	12287.7	10280.4
Human_swiss_sp|P62736|ACTA_HUMAN Actin, aortic smooth muscle OS=Homo sapiens OX=9606 GN=ACTA2 PE=1 SV=1	NA	NA	8185.37	6724.49	NA	5475.85	8673.57
Human_swiss_sp|P62805|H4_HUMAN Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2	814718	1.34846e+06	1.05825e+06	598080	480359	536406	1.12213e+06
Human_swiss_sp|P62937|PPIA_HUMAN Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2	NA	NA	NA	NA	NA	6658.69	NA
Human_swiss_sp|P63316|TNNC1_HUMAN Troponin C, slow skeletal and cardiac muscles OS=Homo sapiens OX=9606 GN=TNNC1 PE=1 SV=1	31808.5	NA	21941.6	11267.3	30059.2	31563.5	19878.6
Human_swiss_sp|P68363|TBA1B_HUMAN Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1	NA	NA	NA	NA	NA	5728.6	NA
Human_swiss_sp|P68871|HBB_HUMAN Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2	NA	NA	9225.21	NA	26689.7	NA	12358.9
Human_swiss_sp|P69905|HBA_HUMAN Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2	62282.1	596584	103401	54218.7	112555	104523	125597
Human_swiss_sp|P80188|NGAL_HUMAN Neutrophil gelatinase-associated lipocalin OS=Homo sapiens OX=9606 GN=LCN2 PE=1 SV=2	264108	104206	314982	192709	187348	99304.4	209449
Human_swiss_sp|P98073|ENTK_HUMAN Enteropeptidase OS=Homo sapiens OX=9606 GN=TMPRSS15 PE=1 SV=3	NA	31371	53467.4	36846	32082.6	29764.2	41925.2
Human_swiss_sp|P98088|MUC5A_HUMAN Mucin-5AC OS=Homo sapiens OX=9606 GN=MUC5AC PE=1 SV=4	51863.6	28214.9	34065.8	27915.8	36283.9	33433.2	58316.2
Human_swiss_sp|Q00872|MYPC1_HUMAN Myosin-binding protein C, slow-type OS=Homo sapiens OX=9606 GN=MYBPC1 PE=1 SV=2	31544.2	33031	45181	23801.6	33329.6	21671.6	38315.8
Human_swiss_sp|Q02817|MUC2_HUMAN Mucin-2 OS=Homo sapiens OX=9606 GN=MUC2 PE=1 SV=2	386806	451839	466860	550994	481340	347343	644271
Human_swiss_sp|Q03154|ACY1_HUMAN Aminoacylase-1 OS=Homo sapiens OX=9606 GN=ACY1 PE=1 SV=1	15359.2	16051	16610.7	32669	9895.78	37248.9	28470
Human_swiss_sp|Q03403|TFF2_HUMAN Trefoil factor 2 OS=Homo sapiens OX=9606 GN=TFF2 PE=1 SV=2	590049	135216	273674	168097	13419.6	3.552e+06	1.01089e+06
Human_swiss_sp|Q04609|FOLH1_HUMAN Glutamate carboxypeptidase 2 OS=Homo sapiens OX=9606 GN=FOLH1 PE=1 SV=1	NA	5543.43	8953.44	9550.05	10940.3	5721.35	9441.87
Human_swiss_sp|Q05639|EF1A2_HUMAN Elongation factor 1-alpha 2 OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1	NA	20811	16027.7	11577.3	13231.4	18346.2	15084.1
Human_swiss_sp|Q07837|SLC31_HUMAN Neutral and basic amino acid transport protein rBAT OS=Homo sapiens OX=9606 GN=SLC3A1 PE=1 SV=2	NA	10634	23325.8	36943.1	11711.9	56123.4	17616.1
Human_swiss_sp|Q08043|ACTN3_HUMAN Alpha-actinin-3 OS=Homo sapiens OX=9606 GN=ACTN3 PE=1 SV=2	NA	15017.3	18157.7	27302.2	NA	6633.46	14590.6
Human_swiss_sp|Q08380|LG3BP_HUMAN Galectin-3-binding protein OS=Homo sapiens OX=9606 GN=LGALS3BP PE=1 SV=1	20613.3	68521	109310	97469.8	80555.9	48864.5	70735.6
Human_swiss_sp|Q10588|BST1_HUMAN ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 OS=Homo sapiens OX=9606 GN=BST1 PE=1 SV=2	NA	8435.84	10586.8	9921.36	6010.43	NA	NA
Human_swiss_sp|Q12864|CAD17_HUMAN Cadherin-17 OS=Homo sapiens OX=9606 GN=CDH17 PE=1 SV=3	NA	NA	13669.4	28041.8	12594.2	25147.6	22772.7
Human_swiss_sp|Q12929|EPS8_HUMAN Epidermal growth factor receptor kinase substrate 8 OS=Homo sapiens OX=9606 GN=EPS8 PE=1 SV=1	NA	NA	15195.1	NA	NA	13687.5	14125.4
Human_swiss_sp|Q13228|SBP1_HUMAN Methanethiol oxidase OS=Homo sapiens OX=9606 GN=SELENBP1 PE=1 SV=2	25100.7	37889.7	34803.8	26132.2	30121.7	23935.1	38352.5
Human_swiss_sp|Q13232|NDK3_HUMAN Nucleoside diphosphate kinase 3 OS=Homo sapiens OX=9606 GN=NME3 PE=1 SV=2	13427.6	NA	NA	NA	NA	96421.9	61750.7
Human_swiss_sp|Q13642|FHL1_HUMAN Four and a half LIM domains protein 1 OS=Homo sapiens OX=9606 GN=FHL1 PE=1 SV=4	106204	77379.1	193294	99504.2	42277.4	89422.6	95612.8
Human_swiss_sp|Q14002|CEAM7_HUMAN Carcinoembryonic antigen-related cell adhesion molecule 7 OS=Homo sapiens OX=9606 GN=CEACAM7 PE=1 SV=1	53792	49232	66119.4	24580	9090.15	56805.1	32063.2
Human_swiss_sp|Q14315|FLNC_HUMAN Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3	NA	4431.67	NA	2821.68	5604.72	NA	3422.88
Human_swiss_sp|Q14CN2|CLCA4_HUMAN Calcium-activated chloride channel regulator 4 OS=Homo sapiens OX=9606 GN=CLCA4 PE=1 SV=2	17977.3	12240.3	5429.33	11291.4	15798.5	15109.2	18807.4
Human_swiss_sp|Q16651|PRSS8_HUMAN Prostasin OS=Homo sapiens OX=9606 GN=PRSS8 PE=1 SV=1	NA	5793.02	NA	4080.06	5996.42	4058.7	8080.36
Human_swiss_sp|Q16819|MEP1A_HUMAN Meprin A subunit alpha OS=Homo sapiens OX=9606 GN=MEP1A PE=1 SV=2	229765	150759	729411	307668	1.02793e+06	114908	376580
Human_swiss_sp|Q16820|MEP1B_HUMAN Meprin A subunit beta OS=Homo sapiens OX=9606 GN=MEP1B PE=1 SV=3	27914	33126.2	39242.8	31641.2	74576.8	28268.9	37672.5
Human_swiss_sp|Q5JS37|NHLC3_HUMAN NHL repeat-containing protein 3 OS=Homo sapiens OX=9606 GN=NHLRC3 PE=2 SV=1	NA	NA	6655.52	3989.85	4862.63	6134.79	6030.94
Human_swiss_sp|Q5T2W1|NHRF3_HUMAN Na(+)/H(+) exchange regulatory cofactor NHE-RF3 OS=Homo sapiens OX=9606 GN=PDZK1 PE=1 SV=2	NA	NA	NA	NA	NA	6798.03	3550.84
Human_swiss_sp|Q6P4A8|PLBL1_HUMAN Phospholipase B-like 1 OS=Homo sapiens OX=9606 GN=PLBD1 PE=1 SV=2	17394.4	10472.8	23391.8	15048.6	11959.9	12024.5	16163.4
Human_swiss_sp|Q6PIF6|MYO7B_HUMAN Unconventional myosin-VIIb OS=Homo sapiens OX=9606 GN=MYO7B PE=1 SV=2	NA	NA	NA	NA	NA	2051.86	NA
Human_swiss_sp|Q6UWM9|UD2A3_HUMAN UDP-glucuronosyltransferase 2A3 OS=Homo sapiens OX=9606 GN=UGT2A3 PE=2 SV=2	NA	NA	NA	NA	NA	3807.74	6273.02
Human_swiss_sp|Q6UWP2|DHR11_HUMAN Dehydrogenase/reductase SDR family member 11 OS=Homo sapiens OX=9606 GN=DHRS11 PE=1 SV=1	NA	NA	NA	NA	NA	19042.2	NA
Human_swiss_sp|Q6UWV6|ENPP7_HUMAN Ectonucleotide pyrophosphatase/phosphodiesterase family member 7 OS=Homo sapiens OX=9606 GN=ENPP7 PE=1 SV=3	215077	219257	230824	364305	236246	282324	378684
Human_swiss_sp|Q6UX06|OLFM4_HUMAN Olfactomedin-4 OS=Homo sapiens OX=9606 GN=OLFM4 PE=1 SV=1	NA	12587	12246.7	14319.7	23678.6	10104	12886.3
Human_swiss_sp|Q6W4X9|MUC6_HUMAN Mucin-6 OS=Homo sapiens OX=9606 GN=MUC6 PE=1 SV=3	8496.22	6019.73	NA	13395.1	NA	24269.8	17868.2
Human_swiss_sp|Q7L5L3|GDPD3_HUMAN Lysophospholipase D GDPD3 OS=Homo sapiens OX=9606 GN=GDPD3 PE=1 SV=3	NA	11335.8	10268.3	8428.31	NA	10562.9	13092.1
Human_swiss_sp|Q86UP6|CUZD1_HUMAN CUB and zona pellucida-like domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CUZD1 PE=2 SV=1	339506	358939	172888	284284	243980	323548	358884
Human_swiss_sp|Q86Y39|NDUAB_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 OS=Homo sapiens OX=9606 GN=NDUFA11 PE=1 SV=3	NA	NA	5224.97	NA	NA	5755.47	NA
Human_swiss_sp|Q86YZ3|HORN_HUMAN Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2	6594.98	NA	NA	5491.87	NA	NA	2583.84
Human_swiss_sp|Q8IVL8|CBPO_HUMAN Carboxypeptidase O OS=Homo sapiens OX=9606 GN=CPO PE=1 SV=1	16480	17934	27576.3	10316.5	15447.6	33149.2	23382.1
Human_swiss_sp|Q8TE67|ES8L3_HUMAN Epidermal growth factor receptor kinase substrate 8-like protein 3 OS=Homo sapiens OX=9606 GN=EPS8L3 PE=1 SV=2	33332.7	NA	NA	NA	NA	31600.1	21036.1
Human_swiss_sp|Q8WUM4|PDC6I_HUMAN Programmed cell death 6-interacting protein OS=Homo sapiens OX=9606 GN=PDCD6IP PE=1 SV=1	22992.4	NA	15181.7	7425.39	NA	15508.2	13691.8
Human_swiss_sp|Q8WWA0|ITLN1_HUMAN Intelectin-1 OS=Homo sapiens OX=9606 GN=ITLN1 PE=1 SV=1	448510	462677	840909	848717	1.1758e+06	1.01794e+06	967573
Human_swiss_sp|Q8WWH5|TRUB1_HUMAN Probable tRNA pseudouridine synthase 1 OS=Homo sapiens OX=9606 GN=TRUB1 PE=1 SV=1	NA	NA	NA	NA	NA	2139.38	2631.69
Human_swiss_sp|Q8WWU7|ITLN2_HUMAN Intelectin-2 OS=Homo sapiens OX=9606 GN=ITLN2 PE=2 SV=1	303242	464838	1.23487e+06	692634	371865	1.59242e+06	624466
Human_swiss_sp|Q8WZ42|TITIN_HUMAN Titin OS=Homo sapiens OX=9606 GN=TTN PE=1 SV=4	23350.2	17914.1	5875.5	19350.8	22791.1	1402.41	20679.9
Human_swiss_sp|Q92485|ASM3B_HUMAN Acid sphingomyelinase-like phosphodiesterase 3b OS=Homo sapiens OX=9606 GN=SMPDL3B PE=1 SV=2	36847.7	12776.2	17689.1	NA	8132.75	29041.6	19354.1
Human_swiss_sp|Q92542|NICA_HUMAN Nicastrin OS=Homo sapiens OX=9606 GN=NCSTN PE=1 SV=2	NA	6099.96	9619.84	7471.87	3546.04	5560.81	5101.44
Human_swiss_sp|Q92820|GGH_HUMAN Gamma-glutamyl hydrolase OS=Homo sapiens OX=9606 GN=GGH PE=1 SV=2	NA	3963.08	4779.69	3330.4	10013.1	NA	3516.76
Human_swiss_sp|Q969X1|LFG3_HUMAN Protein lifeguard 3 OS=Homo sapiens OX=9606 GN=TMBIM1 PE=1 SV=2	16305.9	NA	8752.87	NA	NA	13982.6	9369.57
Human_swiss_sp|Q96JP2|MY15B_HUMAN Unconventional myosin-XVB OS=Homo sapiens OX=9606 GN=MYO15B PE=1 SV=3	NA	NA	NA	NA	NA	5220.48	NA
Human_swiss_sp|Q99102|MUC4_HUMAN Mucin-4 OS=Homo sapiens OX=9606 GN=MUC4 PE=1 SV=5	NA	NA	NA	NA	NA	10740.3	6439.91
Human_swiss_sp|Q99828|CIB1_HUMAN Calcium and integrin-binding protein 1 OS=Homo sapiens OX=9606 GN=CIB1 PE=1 SV=4	8352.87	NA	NA	4391.43	5473.62	8312.25	7362.11
Human_swiss_sp|Q99895|CTRC_HUMAN Chymotrypsin-C OS=Homo sapiens OX=9606 GN=CTRC PE=1 SV=2	2.93423e+06	3.22721e+06	2.84744e+06	2.70115e+06	3.50953e+06	2.57732e+06	3.71243e+06
Human_swiss_sp|Q9BS40|LXN_HUMAN Latexin OS=Homo sapiens OX=9606 GN=LXN PE=1 SV=2	NA	4602.26	3729.64	NA	3855.59	3898.57	4202.9
Human_swiss_sp|Q9BYE9|CDHR2_HUMAN Cadherin-related family member 2 OS=Homo sapiens OX=9606 GN=CDHR2 PE=1 SV=2	354345	418628	413786	300335	723236	77538.1	347646
Human_swiss_sp|Q9BYF1|ACE2_HUMAN Angiotensin-converting enzyme 2 OS=Homo sapiens OX=9606 GN=ACE2 PE=1 SV=2	NA	12045.8	NA	20323.5	NA	5792.16	11323.5
Human_swiss_sp|Q9H3R2|MUC13_HUMAN Mucin-13 OS=Homo sapiens OX=9606 GN=MUC13 PE=1 SV=3	332228	189542	360428	428356	195187	1.15064e+06	465951
Human_swiss_sp|Q9HAT2|SIAE_HUMAN Sialate O-acetylesterase OS=Homo sapiens OX=9606 GN=SIAE PE=1 SV=1	NA	11792.9	16226.9	15596.7	NA	9676.1	18496.1
Human_swiss_sp|Q9HBB8|CDHR5_HUMAN Cadherin-related family member 5 OS=Homo sapiens OX=9606 GN=CDHR5 PE=1 SV=3	7933.79	68249.5	167664	296243	94237.6	88486.1	125048
Human_swiss_sp|Q9HC84|MUC5B_HUMAN Mucin-5B OS=Homo sapiens OX=9606 GN=MUC5B PE=1 SV=3	NA	NA	10748.2	NA	NA	7688.27	12689.9
Human_swiss_sp|Q9HD89|RETN_HUMAN Resistin OS=Homo sapiens OX=9606 GN=RETN PE=1 SV=1	27201.5	16334.2	30498.3	NA	32794.6	25585.4	24209.7
Human_swiss_sp|Q9UGM3|DMBT1_HUMAN Deleted in malignant brain tumors 1 protein OS=Homo sapiens OX=9606 GN=DMBT1 PE=1 SV=2	592779	369577	1.02158e+06	919719	628966	2.14154e+06	1.5783e+06
Human_swiss_sp|Q9UKX2|MYH2_HUMAN Myosin-2 OS=Homo sapiens OX=9606 GN=MYH2 PE=1 SV=1	121897	72651.4	87895.2	56797.9	45909.1	22446.7	73259.7
Human_swiss_sp|Q9UQQ1|NALDL_HUMAN Aminopeptidase NAALADL1 OS=Homo sapiens OX=9606 GN=NAALADL1 PE=1 SV=2	NA	15922.4	16003	13615	14122.4	28616.8	21030.3
Human_swiss_sp|Q9Y277|VDAC3_HUMAN Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens OX=9606 GN=VDAC3 PE=1 SV=1	18820.9	10217.3	7247.07	9754.13	9287.81	6957.82	13551.2
Human_swiss_sp|Q9Y281|COF2_HUMAN Cofilin-2 OS=Homo sapiens OX=9606 GN=CFL2 PE=1 SV=1	NA	NA	8875.18	NA	5924.41	2297.78	5710.88
Human_swiss_sp|Q9Y2Y8|PRG3_HUMAN Proteoglycan 3 OS=Homo sapiens OX=9606 GN=PRG3 PE=1 SV=2	NA	6609.02	31763.1	24984	9752.66	47019.8	24393.8
Human_swiss_sp|Q9Y3B3|TMED7_HUMAN Transmembrane emp24 domain-containing protein 7 OS=Homo sapiens OX=9606 GN=TMED7 PE=1 SV=2	NA	8629.18	NA	5896.99	NA	4214.68	NA
Human_swiss_sp|Q9Y623|MYH4_HUMAN Myosin-4 OS=Homo sapiens OX=9606 GN=MYH4 PE=2 SV=2	NA	118806	170355	64131.2	72054.8	63618.8	138702
Human_swiss_sp|Q9Y6R7|FCGBP_HUMAN IgGFc-binding protein OS=Homo sapiens OX=9606 GN=FCGBP PE=1 SV=3	872099	1.11422e+06	1.16343e+06	861526	873598	1.05411e+06	1.42533e+06
IRT_sp_iRT11_iRT	NA	15619.5	11253.7	NA	NA	NA	NA
MH0001_GL0003731  [gene]  locus=scaffold8508_3:3105:4757:- [Complete] codon-table.11	NA	NA	NA	9574.43	NA	NA	NA
MH0001_GL0006365  [gene]  locus=scaffold16894_2:4140:6275:- [Complete] codon-table.11	20138.2	102302	1.4166e+06	28992.9	92049.1	NA	31002.6
MH0001_GL0008109  [gene]  locus=scaffold1264_2:7078:8340:- [Complete] codon-table.11	20331	65278.2	123359	NA	61498.9	NA	NA
MH0001_GL0017996  [gene]  locus=scaffold221_3:6671:9112:- [Complete] codon-table.11	33540.5	97361.9	101893	30627	74026.4	4407.4	16613.8
MH0001_GL0020755  [gene]  locus=scaffold17758_1:840:1856:+ [Complete] codon-table.11	6525.58	66739	101811	17986.8	52473	NA	5377.1
MH0003_GL0003148  [gene]  locus=scaffold31787_1:14836:18108:- [Complete] codon-table.11	21200.4	NA	NA	40376.3	18958.6	NA	12023.5
MH0003_GL0010170  [gene]  locus=scaffold28388_2:15184:16260:- [Complete] codon-table.11	NA	4517.97	NA	NA	NA	2744.16	3266.95
MH0003_GL0044368  [gene]  locus=scaffold8858_1:2359:3753:+ [Complete] codon-table.11	NA	19866.2	49137.2	NA	23549.9	NA	NA
MH0003_GL0055966  [gene]  locus=scaffold14777_1:6864:7979:+ [Complete] codon-table.11	NA	16771.7	9987.79	16756.4	14865.2	NA	8387.03
MH0004_GL0011122  [gene]  locus=scaffold23472_1:17113:17589:+ [Complete] codon-table.11	43642.2	244135	145929	25488.2	148818	27951.9	30256.8
MH0005_GL0013865  [gene]  locus=scaffold167_11:1050:1319:+ [Complete] codon-table.11	32325.3	276879	144752	17413.6	138210	NA	18459.8
MH0005_GL0017606  [gene]  locus=scaffold6966_1:8057:9790:- [Complete] codon-table.11	75658.1	NA	NA	143315	196325	NA	46531.8
MH0005_GL0021441  [gene]  locus=scaffold4384_2:33167:36454:- [Complete] codon-table.11	14738.1	NA	NA	194837	122733	NA	6671.74
MH0006_GL0032494  [gene]  locus=scaffold60560_2:151:1089:+ [Complete] codon-table.11	104367	91849	89756.2	61443	50826.5	158622	227374
MH0006_GL0121407  [gene]  locus=scaffold62700_1:5533:7884:- [Complete] codon-table.11	NA	20810.1	25630.8	NA	15805.6	NA	NA
MH0006_GL0121937  [gene]  locus=scaffold117095_4:7822:8802:+ [Complete] codon-table.11	49655.4	30673.6	15149.1	52014.5	38183.1	16951.8	35977.6
MH0006_GL0131422  [gene]  locus=scaffold117722_1:142:528:- [Complete] codon-table.11	31778.7	21466.2	11688	5426.4	17016.9	NA	5697.87
MH0006_GL0137136  [gene]  locus=scaffold189532_2:2489:4219:- [Complete] codon-table.11	23474.1	8899.6	6910.95	7634.92	5401.52	19344.8	19117.5
MH0006_GL0181988  [gene]  locus=scaffold189532_3:32877:35060:- [Complete] codon-table.11	8133.94	11674.5	25131.8	5542.27	11186.6	NA	5902.23
MH0006_GL0199332  [gene]  locus=scaffold26721_1:15855:16511:+ [Complete] codon-table.11	319176	344369	343408	418919	300276	172036	246310
MH0006_GL0216336  [gene]  locus=scaffold70291_8:39252:40586:- [Complete] codon-table.11	NA	NA	NA	NA	10761.5	7981.37	NA
MH0007_GL0003438  [gene]  locus=scaffold60316_8:2889:3995:- [Complete] codon-table.11	89564	32990.5	NA	NA	24024	NA	29645.4
MH0008_GL0040329  [gene]  locus=scaffold10806_5:16383:17471:+ [Complete] codon-table.11	11235.1	12913.5	11543.4	NA	NA	30424	14857.3
MH0009_GL0015794  [gene]  locus=scaffold4312_1:2:1318:+ [Lack 5'-end] codon-table.11	18176.8	136652	NA	26112.2	93310.1	14428.6	24604
MH0011_GL0000961  [gene]  locus=scaffold17229_1:3:1049:+ [Lack 5'-end] codon-table.11	21254.5	14999.7	17922.6	15865.6	22640.9	NA	15086.7
MH0011_GL0004695  [gene]  locus=scaffold16115_2:7773:8966:+ [Complete] codon-table.11	NA	NA	NA	NA	33139.3	NA	NA
MH0011_GL0025206  [gene]  locus=scaffold15719_4:8551:10104:- [Complete] codon-table.11	NA	6280.98	8683.8	NA	NA	2444.94	NA
MH0011_GL0097746  [gene]  locus=scaffold13877_3:15343:16863:+ [Complete] codon-table.11	392733	415904	427537	191581	353081	99301.4	262773
MH0012_GL0008469  [gene]  locus=scaffold3920_1:589:1371:- [Complete] codon-table.11	26666.2	20957.4	84495.3	12955.2	9493.58	13789.9	28575
MH0012_GL0026546  [gene]  locus=scaffold10603_9:11706:13022:- [Complete] codon-table.11	NA	15640	NA	NA	NA	17315.3	27250.6
MH0012_GL0038842  [gene]  locus=scaffold9613_9:4403:6583:+ [Complete] codon-table.11	NA	NA	NA	3162.61	NA	1609.67	1445.17
MH0012_GL0101972  [gene]  locus=scaffold133838_1:3941:5314:+ [Complete] codon-table.11	246122	157728	136161	155471	83262.9	43289.3	91758
MH0012_GL0114975  [gene]  locus=scaffold23230_3:16987:18192:+ [Complete] codon-table.11	381008	1.01728e+06	665613	481449	564285	153820	214543
MH0012_GL0135518  [gene]  locus=scaffold88748_1:302:502:- [Complete] codon-table.11	44909.1	59492.8	42439.9	56845.3	NA	NA	23848.9
MH0012_GL0144040  [gene]  locus=scaffold3418_3:9639:10358:- [Complete] codon-table.11	100186	92851.7	NA	152058	47765.5	74670.9	54776.2
MH0012_GL0193636  [gene]  locus=scaffold991_3:17079:18740:- [Complete] codon-table.11	29394.2	124470	221956	42629	258599	39531.5	98967.8
MH0012_GL0199393  [gene]  locus=scaffold55328_8:2805:3824:+ [Complete] codon-table.11	NA	20576.8	11645.2	24910	18149.5	4893.56	15001.4
MH0012_GL0205813  [gene]  locus=scaffold24325_3:12368:13369:- [Complete] codon-table.11	6590.71	NA	NA	NA	NA	NA	3235.5
MH0012_GL0219073  [gene]  locus=scaffold37026_3:260:2344:- [Complete] codon-table.11	NA	NA	12002.8	NA	NA	NA	NA
MH0012_GL0231204  [gene]  locus=scaffold28792_3:15064:16644:- [Complete] codon-table.11	NA	45207.3	NA	NA	NA	NA	NA
MH0012_GL0231513  [gene]  locus=scaffold85654_2:21575:22492:- [Complete] codon-table.11	NA	16097.2	NA	4201.44	NA	7177.79	NA
MH0013_GL0020747  [gene]  locus=scaffold5881_4:1966:2775:- [Complete] codon-table.11	NA	12467.6	NA	20801.1	12691.9	NA	8271.05
MH0014_GL0027038  [gene]  locus=scaffold8815_1:425:1180:- [Complete] codon-table.11	77659.1	191272	49573.3	105759	65433.4	114936	117734
MH0015_GL0033518  [gene]  locus=scaffold13241_16:411:1832:- [Complete] codon-table.11	12613.1	20452.5	NA	12848.9	NA	NA	6630.51
MH0016_GL0030768  [gene]  locus=scaffold720_2:630:4334:+ [Complete] codon-table.11	NA	40174.5	10194.3	11511	15438.7	4700.64	11005.1
MH0016_GL0042520  [gene]  locus=scaffold264_3:1870:3150:+ [Complete] codon-table.11	NA	NA	NA	NA	NA	2668.36	15256.2
MH0017_GL0006177  [gene]  locus=scaffold33680_2:1:429:- [Lack 3'-end] codon-table.11	NA	22458.6	NA	41072	NA	NA	NA
MH0017_GL0006411  [gene]  locus=scaffold1075_1:3837:4934:- [Complete] codon-table.11	NA	NA	NA	10953.2	NA	NA	12371.5
MH0018_GL0003216  [gene]  locus=scaffold7107_1:3501:6698:+ [Complete] codon-table.11	19011.8	NA	NA	NA	NA	NA	4860.21
MH0019_GL0005571  [gene]  locus=scaffold26662_7:2:301:+ [Lack 5'-end] codon-table.11	6166.19	9288.18	9805.9	10768.9	9537.13	NA	9188.65
MH0020_GL0031208  [gene]  locus=scaffold23813_9:204:3755:- [Complete] codon-table.11	98585.6	172292	57984.5	40911.8	54107.5	167784	142734
MH0020_GL0052377  [gene]  locus=scaffold8565_5:10487:11824:+ [Complete] codon-table.11	NA	NA	NA	NA	5171.43	NA	4874.93
MH0021_GL0021757  [gene]  locus=scaffold57271_5:1798:2523:- [Complete] codon-table.11	76210.5	30793.4	40865.4	25035.3	38909	60359.5	76532.1
MH0021_GL0032172  [gene]  locus=scaffold43479_2:47:796:- [Complete] codon-table.11	71223.1	78049.7	198669	45418.1	34118.5	81309.9	47553.6
MH0023_GL0022168  [gene]  locus=scaffold9839_2:270:2297:+ [Complete] codon-table.11	6571.31	NA	NA	NA	NA	NA	4472.22
MH0026_GL0025473  [gene]  locus=scaffold95_9:3017:4747:+ [Complete] codon-table.11	NA	7211.01	9883.72	3197.35	10316.4	NA	NA
MH0026_GL0057988  [gene]  locus=scaffold8949_2:5175:6260:+ [Complete] codon-table.11	NA	NA	15968.5	NA	7759.46	NA	NA
MH0028_GL0056621  [gene]  locus=scaffold25695_3:1:1182:- [Lack both ends] codon-table.11	NA	7697.47	NA	NA	NA	NA	3833.7
MH0030_GL0001621  [gene]  locus=scaffold19675_1:28901:30028:+ [Complete] codon-table.11	NA	14313.3	27258.4	7589.43	10925.5	NA	6530.37
MH0030_GL0015353  [gene]  locus=scaffold19777_1:10051:11091:+ [Complete] codon-table.11	NA	35891.4	36725.9	3661.51	20921.8	NA	NA
MH0031_GL0007986  [gene]  locus=scaffold2298_1:672:1886:- [Lack 5'-end] codon-table.11	NA	15409.4	7727.73	22104.5	6230.04	NA	5343.19
MH0031_GL0019482  [gene]  locus=scaffold12527_2:2046:2810:- [Complete] codon-table.11	NA	15879.6	19501.3	NA	NA	NA	NA
MH0032_GL0020556  [gene]  locus=scaffold16595_2:2230:3441:+ [Complete] codon-table.11	NA	12210.4	20589.4	6270.49	14346	NA	7273.59
MH0035_GL0038031  [gene]  locus=scaffold344_1:5173:5478:- [Complete] codon-table.11	26998.4	16081.2	15658	56730	34357	12918.6	22626.3
